,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1
PSD_12_to_30_7,-0.1853845812100549,0.5227840775089388,0.7400993113344831,-0.4339087723400828,0.9742688346323679,1.0,0.9806981834062807,0.39675170045647
PSD_20_to_40_7,-0.21433088697409397,0.516606499588041,0.7948436130294072,-0.43826098638172434,0.9878368895573424,0.9806981834062807,1.0,0.42695066471158255
levodopa_7,-0.13561603288571852,0.020287660904547,0.29187518821094016,-0.1855430853562564,0.4272015147417002,0.39675170045647,0.42695066471158255,1.0
""
,burstduration_8,burstinterval_8,Ku_8,CorrDim_8,PSD_3_to_7_8,PSD_12_to_30_8,PSD_20_to_40_8,levodopa_8
burstduration_8,1.0,-0.30643478230970067,-0.33150628243781943,0.06953532150448107,-0.14574420235931257,-0.0702885257625709,-0.13679707942067226,0.08204201090176622
burstinterval_8,-0.30643478230970067,1.0,-0.013575161970959409,0.25229379749152,-0.49330901794051923,-0.16385973436652884,-0.49903066674752083,-0.03162635915510517
Ku_8,-0.33150628243781943,-0.013575161970959409,1.0,-0.21960712259638687,0.19207095858286694,-0.11855022586041881,0.25872466169760633,-0.37664173978296045
CorrDim_8,0.06953532150448107,0.25229379749152,-0.21960712259638687,1.0,-0.19766151867773582,-0.024649115446996942,-0.2005895700113297,-0.10279737897525063
PSD_3_to_7_8,-0.14574420235931257,-0.49330901794051923,0.19207095858286694,-0.19766151867773582,1.0,0.8006341998930532,0.975005689978489,-0.17456222329791596
PSD_12_to_30_8,-0.0702885257625709,-0.16385973436652884,-0.11855022586041881,-0.024649115446996942,0.8006341998930532,1.0,0.7530780209053469,-0.01368047022443968
PSD_20_to_40_8,-0.13679707942067226,-0.49903066674752083,0.25872466169760633,-0.2005895700113297,0.975005689978489,0.7530780209053469,1.0,-0.22198611032719193
levodopa_8,0.08204201090176622,-0.03162635915510517,-0.37664173978296045,-0.10279737897525063,-0.17456222329791596,-0.01368047022443968,-0.22198611032719193,1.0
""
,burstduration_9,burstinterval_9,Ku_9,CorrDim_9,PSD_3_to_7_9,PSD_12_to_30_9,PSD_20_to_40_9,levodopa_9
burstduration_9,1.0,-0.49418878231876356,-0.15560786853473021,0.005879008181421247,0.014283742760992112,0.03594257961390054,0.0027543092372060442,-0.0009685211227432086
burstinterval_9,-0.49418878231876356,1.0,0.4114294826821409,0.19290200382380254,-0.1977945634193511,-0.1728253150152446,-0.14468381470208677,0.09924699973967162
Ku_9,-0.15560786853473021,0.4114294826821409,1.0,-0.06847156110408618,-0.39010789153823033,-0.39794558882037956,-0.34903443222205355,-0.04193462921416872
CorrDim_9,0.005879008181421247,0.19290200382380254,-0.06847156110408618,1.0,-0.07343401907723482,-0.1386232770888413,-0.044765499668287315,-0.20724616073815952
PSD_3_to_7_9,0.014283742760992112,-0.1977945634193511,-0.39010789153823033,-0.07343401907723482,1.0,0.7948873322064393,0.9578113903974496,0.03964939805510642
PSD_12_to_30_9,0.03594257961390054,-0.1728253150152446,-0.39794558882037956,-0.1386232770888413,0.7948873322064393,1.0,0.8059041419289142,0.19455654534073832
PSD_20_to_40_9,0.0027543092372060442,-0.14468381470208677,-0.34903443222205355,-0.044765499668287315,0.9578113903974496,0.8059041419289142,1.0,0.05416605538991762
levodopa_9,-0.0009685211227432086,0.09924699973967162,-0.04193462921416872,-0.20724616073815952,0.03964939805510642,0.19455654534073832,0.05416605538991762,1.0
""
,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
