,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
,burstduration_6,burstinterval_6,Ku_6,CorrDim_6,PSD_3_to_7_6,PSD_12_to_30_6,PSD_20_to_40_6
6cha_one_component,0.027344815679544023,0.33147479042053,-0.32323853431661714,0.19113420356978061,0.49757483801609637,0.5014364258537274,0.4993416485033101
6cha_second_component,0.8387355402924173,0.01008433213465898,0.4196609242725619,-0.280226162614408,0.16956240519909907,0.05996611629815986,0.09711674294425199
""
,burstduration_7,burstinterval_7,Ku_7,CorrDim_7,PSD_3_to_7_7,PSD_12_to_30_7,PSD_20_to_40_7
7cha_one_component,-0.14374046081657676,0.1345329998425866,0.301389539303201,-0.3930949683766689,0.5144012303188216,0.4861562152105918,0.46359869712040636
7cha_second_component,0.48590067069278464,-0.613960863967121,-0.42131643761822934,0.16699240156748882,0.15503376856355894,0.258782058664555,0.30092352793819654
""
,burstduration_8,burstinterval_8,Ku_8,CorrDim_8,PSD_3_to_7_8,PSD_12_to_30_8,PSD_20_to_40_8
8cha_one_component,0.2179572252269944,0.03071237705063168,0.14188170036385353,-0.26264096160848216,0.5355991037418959,0.536704233691778,0.5362115924359356
8cha_second_component,0.45052093961733186,-0.806318917668146,-0.2901619916132898,-0.22943957115738545,-0.04861884940153338,-0.06283894469738327,-0.061087333376905806
""
,burstduration_9,burstinterval_9,Ku_9,CorrDim_9,PSD_3_to_7_9,PSD_12_to_30_9,PSD_20_to_40_9
9cha_one_component,0.2629253817240564,-0.14069076274368753,-0.28715540351249413,0.2236365213302377,0.49405903981204957,0.5219320857857139,0.5119544867389241
9cha_second_component,0.5444848266801893,-0.7566725513861068,-0.10400599774978256,-0.21792735852683356,-0.10131351296556401,-0.15093002593888982,-0.19907044404465304
""
,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
1cha_one_component,0.5769206174066819,0.577162893732697,0.5779667769943125
1cha_second_component,0.7481573266875161,-0.6573370602719426,-0.09038032815182084
""
,PSD_3_to_7_10,PSD_12_to_30_10,PSD_20_to_40_10
10cha_one_component,0.5763365410290515,0.5754665129813042,0.5802365758135274
10cha_second_component,-0.6696087174082913,0.7395602578345877,-0.06837244037228574
""
,PSD_3_to_7_11,PSD_12_to_30_11,PSD_20_to_40_11
11cha_one_component,0.576921802619324,0.5761142983193457,0.579010836629573
11cha_second_component,-0.6450467339037312,0.756224673928654,-0.10972216558941272
""
,PSD_3_to_7_12,PSD_12_to_30_12,PSD_20_to_40_12
12cha_one_component,0.577445144582788,0.5765689321686889,0.578035787348518
12cha_second_component,0.5441911962836483,-0.7996058952391256,0.2539416353932703
""
,PSD_3_to_7_13,PSD_12_to_30_13,PSD_20_to_40_13
13cha_one_component,0.5773725442866466,0.5772697577958007,0.5774084965068853
13cha_second_component,0.49396432719513633,-0.810055179100081,0.3159269698392205
""
,PSD_3_to_7_14,PSD_12_to_30_14,PSD_20_to_40_14
14cha_one_component,0.5748396456173256,0.5658799747371307,0.5910492669973054
14cha_second_component,-0.6249436631473458,0.7698878727352911,-0.1292984195847161
""
